"Sample_ID","Lactobacillus","Gardnerella","Bifidobacterium","Atopobium","Prevotella","Megasphaera","Aerococcus","Streptococcus","Anaerococcus","Dialister","Ureaplasma","Finegoldia","Clostridium","Shuttleworthia","Genus_Other","Staphylococcus","Chlamydia","Veillonella","Enterococcus","Campylobacter","Fusobacterium","Peptostreptococcus","Bacteroides"
"B13",99.8754431350005,0.0766503784612436,0,0,0,0.0479064865382773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B14",6.0405090518014,72.9162932425166,0,0.179243592041585,13.4074206847105,0,0,0.268865388062377,0,2.49148592937802,0,0.501882057716437,0,0,4.19430005377307,0,0,0,0,0,0,0,0
"B15",99.4791395385176,0.104172092296474,0,0,0.0989634876816501,0,0,0,0,0.0312516276889421,0.286473253815303,0,0,0,0,0,0,0,0,0,0,0,0
"B16",99.0856688531107,0.238521168753727,0,0.163983303518187,0.154044921486782,0.134168157423971,0,0,0.0198767640628106,0,0.0198767640628106,0.0546611011727291,0.0347843371099185,0,0.069568674219837,0.0248459550785132,0,0,0,0,0,0,0
"B17",91.8917756366139,0.455953200275293,0,0.124741913282863,2.81314521679284,0.0903303509979353,0.0430144528561597,0.0258086717136958,2.48623537508603,0.486063317274604,0,0.645216792842395,0,0,0.851686166551961,0,0,0,0,0.0258086717136958,0,0.0602202339986235,0
"B18",98.2532751091703,0.0909752547307132,0.127365356622999,0,0.181950509461426,0,0,0.318413391557496,0,0.0909752547307132,0.282023289665211,0.118267831149927,0,0,0.536754002911208,0,0,0,0,0,0,0,0
"B19",99.0555014605648,0.428432327166504,0,0.107108081791626,0,0.262901655306719,0.0778967867575463,0,0,0,0,0,0,0.068159688412853,0,0,0,0,0,0,0,0,0
"B2",99.3870746297931,0.299107580660979,0,0.142198685888006,0.0833578503481416,0.0196136118466216,0,0,0,0.0539374325782093,0,0,0,0,0.0147102088849662,0,0,0,0,0,0,0,0
"B20",99.2692307692308,0,0,0,0,0,0,0.615384615384615,0,0.0673076923076923,0,0,0,0,0,0.0480769230769231,0,0,0,0,0,0,0
"B21",99.4538660534636,0.178212129922391,0,0.126473124461052,0.0574877838459327,0.137970681230239,0.0344926703075596,0,0,0,0,0,0,0,0.0114975567691865,0,0,0,0,0,0,0,0
